Date,Y0,Y1,Y2,Y3,MARKET,RKFREE
2011-10-03,-0.03540484876534156,0.01799687711634479,0.07081142672372476,-0.05222781365321938,0.057960893854748674,0.0
2011-10-04,0.03997678203099175,-0.014055109076382521,-0.07995300873452249,0.0409318904622018,-0.10187018701870187,0.0
2011-10-05,0.026299087423930168,-0.018821722064533364,-0.052597419060416484,0.05141026951645977,-0.0737383635472807,0.0
2011-10-06,0.00657414348423524,-0.005675368997274943,-0.013147715473744825,0.03303814821507434,-0.04072996561756148,0.0
2011-10-07,-0.0009541988276640101,0.014726038104994288,0.0019090442945606245,-0.012536635604692314,-0.001929969671905174,0.0
2011-10-10,0.03591398339128715,-0.0449994378160139,-0.07182674970670899,0.06840250808730075,-0.0878453038674033,0.0
2011-10-11,0.0024290244876170597,-0.005300941824450733,-0.004857508832798119,0.01261060887624077,-0.0048455481526348265,0.0
2011-10-12,0.031111041502122072,-0.04002847921703834,-0.062221428990032135,0.011495524541603075,-0.04869141813755318,0.0
2011-10-13,0.0036380932624320295,0.0006168647084114909,-0.00727587360761639,0.01870514986671079,-0.01791426743442104,0.0
2011-10-14,0.03071652313487938,-0.03304155202821868,-0.0614326248115763,0.036025213347397056,-0.08013029315960918,0.0
2011-10-17,-0.06269140309930066,0.039143180962369906,0.12538421155003476,-0.029164076129650773,0.18236543909348457,0.0
2011-10-18,0.029609976344245004,-0.018404907975460127,-0.05921927004799843,0.0233389437520255,-0.05480682839173412,0.0
2011-10-19,-0.045967771594130014,0.03500003814697261,0.09193651400641434,-0.03850051408437949,0.09125475285171092,0.0
2011-10-20,-0.0035200540374682454,-0.001932411306909687,0.007041064967669097,-0.008924469521261691,0.009872241579558683,0.0
2011-10-21,0.03552965059859625,-0.027105492259358765,-0.07105851668351337,0.02417051131280834,-0.09948246118458881,0.0
2011-10-24,0.02782204362801366,-0.036069670035335344,-0.05564153435797514,0.0413001713818153,-0.06577266922094505,0.0
2011-10-25,-0.04058169987375004,0.0211612824470766,0.08116348517792793,-0.03866230859314357,0.1011619958988379,0.0
2011-10-26,0.02648100824146149,-0.010614055400163358,-0.05296112374106188,-0.0028891327396778355,-0.07324643078833026,0.0
2011-10-27,0.06692130066279756,-0.08939974108778592,-0.1338422813215545,0.05574870659911535,-0.14735432016075012,0.0
2011-10-28,0.0010552457629275924,-0.008274950098625666,-0.002109733045393525,0.0020858076688228255,-0.03652788688138253,0.0
2011-10-31,-0.06314981168312128,0.050487904695902586,0.12630113292164813,-0.03297513460755963,0.22136159804321243,0.0
