,SVXY,SVXY,SVXY,SVXY,SVXY,SVXY,SPY,SPY,SPY,SPY,SPY,SPY
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,
2008-11-28,,,,,,,88.62999725341797,90.12999725341797,88.4800033569336,90.08999633789062,69.52033996582031,118308100
2008-12-01,,,,,,,87.51000213623047,87.55000305175781,81.86000061035156,82.11000061035156,63.362342834472656,369927100
2008-12-02,,,,,,,83.47000122070312,85.48999786376953,82.04000091552734,85.2699966430664,65.80083465576172,469508400
2008-12-03,,,,,,,83.4000015258789,87.83000183105469,83.13999938964844,87.31999969482422,67.38280487060547,519863500
2008-12-04,,,,,,,86.05999755859375,88.05000305175781,83.73999786376953,85.30000305175781,65.82398986816406,444173800
2008-12-05,,,,,,,83.6500015258789,88.41999816894531,82.23999786376953,87.93000030517578,67.853515625,471905300
2008-12-08,,,,,,,90.33999633789062,92.37999725341797,88.08000183105469,91.0,70.22257232666016,412859300
2008-12-09,,,,,,,90.37000274658203,92.12999725341797,88.9800033569336,89.5,69.06505584716797,370790000
2008-12-10,,,,,,,90.31999969482422,91.36000061035156,89.0,90.11000061035156,69.53575897216797,396187400
2008-12-11,,,,,,,89.54000091552734,91.0,87.37000274658203,87.94000244140625,67.86123657226562,365061000
2008-12-12,,,,,,,85.55000305175781,89.06999969482422,85.19999694824219,88.98999786376953,68.6714859008789,415060400
2008-12-15,,,,,,,89.0199966430664,89.1500015258789,86.29000091552734,87.75,67.71460723876953,256694200
2008-12-16,,,,,,,91.87999725341797,92.0199966430664,88.18000030517578,91.87999725341797,70.90164947509766,377699500
2008-12-17,,,,,,,90.83999633789062,92.43000030517578,90.05999755859375,90.98999786376953,70.21485900878906,281819800
2008-12-18,,,,,,,91.4000015258789,91.66999816894531,88.20999908447266,89.29000091552734,68.90299987792969,374673300
2008-12-19,,,,,,,89.0999984741211,90.62000274658203,88.08999633789062,88.19000244140625,68.60662078857422,301451300
2008-12-22,,,,,,,88.58000183105469,88.66999816894531,85.48999786376953,87.05999755859375,67.72752380371094,243759500
2008-12-23,,,,,,,87.52999877929688,87.93000030517578,85.80000305175781,86.16000366210938,67.02738952636719,221625200
2008-12-24,,,,,,,86.44999694824219,86.87000274658203,86.0,86.66000366210938,67.41635131835938,62061600
2008-12-26,,,,,,,87.23999786376953,87.30000305175781,86.5,87.16000366210938,67.80533599853516,74767700
2008-12-29,,,,,,,87.23999786376953,87.33000183105469,85.5999984741211,86.91000366210938,67.61083984375,127795900
2008-12-30,,,,,,,87.51000213623047,89.05000305175781,86.87999725341797,88.97000122070312,69.21339416503906,168256300
2008-12-31,,,,,,,89.08000183105469,90.97000122070312,88.87000274658203,90.23999786376953,70.20134735107422,193987200
2009-01-02,,,,,,,90.44000244140625,93.44000244140625,89.8499984741211,92.95999908447266,72.3173599243164,227566300
2009-01-05,,,,,,,92.62999725341797,93.66000366210938,91.88999938964844,92.8499984741211,72.23178100585938,240349700
2009-01-06,,,,,,,93.63999938964844,94.44999694824219,92.68000030517578,93.47000122070312,72.71414184570312,328260900
2009-01-07,,,,,,,92.0,92.26000213623047,90.19999694824219,90.66999816894531,70.53589630126953,280899200
2009-01-08,,,,,,,90.16000366210938,91.08999633789062,89.66999816894531,91.04000091552734,70.82371520996094,263834400
